epoch,train_loss,train_dice,train_iou,train_precision,train_recall,train_f1,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,test_loss,test_dice,test_iou,test_precision,test_recall,test_f1
1,0.33432551844914754,0.7763301783005396,0.6527544013808171,0.7081379548609257,0.9065601224501928,0.7831256902866002,0.15019239217042923,0.8434412423769633,0.7327838253974914,0.7838456670443217,0.9255294537544251,0.8476506588096022,,,,,,
2,0.12677807277441025,0.8637175730069478,0.7651836649576823,0.8506871247291565,0.8926089680989583,0.8690785843466773,0.10795637716849645,0.8688230752944947,0.7720007888476054,0.8106769879659017,0.9485855420430501,0.8729989863294928,,,,,,
3,0.10553624142209689,0.874790724436442,0.7821593496004741,0.8688951694170634,0.8952834649085999,0.8800881824590544,0.09768473913272221,0.8779089458783468,0.7862624303499858,0.8313801813125611,0.9423376512527466,0.8821197110020421,,,,,,
4,0.09924466352661451,0.8797623244921366,0.7897876283327738,0.8764911001523336,0.8972007403373718,0.8847506052568378,0.09504395296176274,0.8814661510785421,0.7918236843744914,0.8364270305633545,0.9433698654174805,0.8854544035641444,,,,,,
5,0.09275686283906301,0.8866529321670532,0.8002247756322225,0.8821198994318644,0.9040559004147848,0.8911724403190675,0.08426528463761011,0.8940260354677836,0.8115146072705587,0.8919187402725219,0.9071846715609233,0.8981967789230737,0.0895753525942564,0.8880670475959778,0.802321115732193,0.8914440417289734,0.8971079981327057,0.8925921046571207
